년/월,서울,인천,부산,대구,대전,광주,울산,수원,춘천
2007년 07월,45,47,46,45,45,50,50,50,55
2007년 08월,45,47,46,45,45,50,50,50,55
2007년 09월,45,47,46,45,45,50,50,50,55
2007년 10월,45,47,46,45,45,50,50,50,55
2007년 11월,45,47,46,45,45,50,50,50,55
2007년 12월,45,47,46,45,45,50,50,50,55
2008년 01월,45,47,46,45,45,50,50,50,55
2008년 02월,45,47,46,45,45,50,50,50,55
2008년 03월,45,47,46,45,45,50,50,50,55
2008년 04월,45,47,46,45,45,50,50,50,55
2008년 05월,45,47,46,45,45,50,50,60,55
2008년 06월,45,47,46,45,48,50,50,60,55
2008년 07월,45,47,46,45,48,50,50,60,55
2008년 08월,45,47,46,45,48,50,50,60,55
2008년 09월,45,47,46,45,48,50,50,60,55
2008년 10월,45,47,46,45,48,50,50,60,55
2008년 11월,45,47,46,45,48,50,50,60,55
2008년 12월,45,47,46,45,48,50,50,60,55
2009년 01월,45,47,46,45,48,50,50,60,55
2009년 02월,45,47,46,45,48,50,50,60,55
2009년 03월,45,47,46,45,48,50,50,60,55
2009년 04월,45,47,46,45,48,50,50,60,55
2009년 05월,45,47,46,45,48,50,50,60,55
2009년 06월,45,50,46,45,50,50,50,65,60
2009년 07월,45,50,46,45,50,50,50,65,60
2009년 08월,50,50,50,50,50,50,50,65,60
2009년 09월,50,50,50,50,50,50,50,65,60
2009년 10월,50,50,50,50,50,50,50,65,60
2009년 11월,50,50,50,50,50,50,50,65,60
2009년 12월,50,50,50,50,50,50,50,65,60
2010년 01월,50,50,50,50,50,50,50,65,60
2010년 02월,50,50,50,50,50,50,50,65,60
2010년 03월,50,50,50,50,50,50,50,65,60
2010년 04월,50,50,50,50,50,50,50,65,60
2010년 05월,50,50,50,50,50,50,50,55,60
2010년 06월,50,50,50,50,50,50,50,55,60
2010년 07월,50,50,50,50,50,50,50,55,60
2010년 08월,50,50,50,50,50,50,50,55,60
2010년 09월,50,50,50,50,50,50,50,55,60
2010년 10월,50,50,50,50,50,50,50,55,60
2010년 11월,50,50,50,50,50,50,50,55,60
2010년 12월,50,50,50,50,50,50,50,55,60
2011년 01월,50,50,50,50,50,50,50,55,60
2011년 02월,50,50,50,50,50,50,50,55,60
2011년 03월,50,50,50,50,50,50,50,55,60
2011년 04월,50,50,50,50,50,50,50,55,60
2011년 05월,50,50,50,50,50,50,50,55,60
2011년 06월,50,50,50,50,50,50,50,55,60
2011년 07월,50,50,50,50,50,50,50,55,60
2011년 08월,50,50,50,50,50,50,50,55,60
2011년 09월,50,50,50,50,50,50,50,55,60
2011년 10월,50,50,50,50,50,50,50,55,60
2011년 11월,50,50,50,50,50,50,50,55,60
2011년 12월,50,50,50,50,50,50,50,55,60
2012년 01월,50,50,50,50,50,50,50,55,60
2012년 02월,50,50,50,50,50,50,50,55,60
2012년 03월,50,50,50,50,50,50,50,55,60
2012년 04월,50,50,50,50,50,50,50,55,60
2012년 05월,60,60,65,65,65,67,65,60,60
2012년 06월,60,60,65,65,65,70,65,60,60
2012년 07월,60,60,65,65,65,70,65,60,60
2012년 08월,60,60,65,65,65,70,65,60,60
2012년 09월,60,60,65,65,65,70,65,60,60
2012년 10월,60,60,65,65,65,70,65,60,60
2012년 11월,60,60,65,65,65,70,65,60,60
2012년 12월,60,60,65,65,65,70,65,60,60
2013년 01월,60,60,65,65,65,70,65,60,60
2013년 02월,60,60,65,65,65,70,65,60,60
2013년 03월,60,60,65,65,65,70,65,60,60
2013년 04월,60,60,65,65,65,70,65,60,60
2013년 05월,60,60,65,65,65,70,65,60,60
2013년 06월,60,60,65,65,65,70,65,60,60
2013년 07월,60,60,65,65,65,70,65,60,60
2013년 08월,60,60,65,65,65,70,65,60,60
2013년 09월,60,60,65,65,65,70,65,60,60
2013년 10월,60,60,65,65,65,70,65,60,60
2013년 11월,60,60,65,65,65,70,65,60,60
2013년 12월,60,60,65,65,65,70,65,60,60
2014년 01월,60,60,65,65,65,70,65,60,60
2014년 02월,60,60,65,65,65,70,65,60,60
2014년 03월,60,60,65,65,65,70,65,60,60
2014년 04월,60,60,65,65,65,70,65,60,60
2014년 05월,60,60,65,65,65,70,65,60,60
2014년 06월,60,60,65,65,65,70,65,60,60
2014년 07월,60,60,65,65,65,70,65,60,60
2014년 08월,60,60,65,65,65,70,65,60,60
2014년 09월,60,60,65,65,65,70,65,60,60
2014년 10월,60,60,65,65,65,70,65,60,60
2014년 11월,60,60,65,65,65,70,65,60,60
2014년 12월,60,60,65,65,65,70,65,60,60
2015년 01월,60,60,65,65,65,70,65,60,60
2015년 02월,60,60,65,65,65,70,65,60,60
2015년 03월,60,60,65,65,65,70,65,60,60
2015년 04월,60,60,65,65,65,70,65,60,60
2015년 05월,60,60,65,65,65,70,65,60,60
2015년 06월,60,60,70,70,65,70,65,60,65
2015년 07월,60,60,70,70,65,70,65,60,65
2015년 08월,60,60,70,70,65,70,65,60,65
2015년 09월,60,60,70,70,65,70,65,60,65
2015년 10월,60,60,70,70,65,70,65,60,65
2015년 11월,60,60,70,70,65,70,65,60,65
2015년 12월,60,60,70,70,65,70,65,60,65
2016년 01월,60,60,70,70,65,70,65,60,65
2016년 02월,60,60,70,70,65,70,65,60,65
2016년 03월,60,60,70,70,65,70,65,60,65
2016년 04월,60,60,70,70,65,70,65,60,65
2016년 05월,60,60,70,70,65,70,65,60,65
2016년 06월,60,60,70,70,65,70,65,60,65
2016년 07월,60,60,70,70,65,70,65,60,65
2016년 08월,60,60,70,70,65,70,65,60,80
2016년 09월,60,60,70,70,65,70,65,60,80
2016년 10월,60,60,70,70,65,70,65,60,80
2016년 11월,60,60,70,70,65,70,65,60,80
2016년 12월,60,60,70,70,65,70,65,60,80
2017년 01월,60,60,70,70,65,70,65,60,80
2017년 02월,60,60,70,70,65,70,65,60,80
2017년 03월,60,60,70,70,65,70,65,60,80
2017년 04월,60,60,70,70,65,70,65,60,80
2017년 05월,60,60,70,70,65,70,65,60,80
2017년 06월,60,60,70,70,65,70,65,60,80
2017년 07월,60,60,70,70,65,70,65,60,80
2017년 08월,60,60,70,70,65,70,65,60,80
2017년 09월,60,60,70,70,65,70,65,60,80
2017년 10월,60,60,70,70,65,70,65,60,80
2017년 11월,60,60,70,70,65,70,65,60,80
2017년 12월,69,69,70,70,65,70,65,60,80
2018년 01월,69,69,70,70,65,70,65,60,80
2018년 02월,69,69,70,70,65,70,65,60,80
2018년 03월,69,69,70,70,65,70,65,60,80
2018년 04월,69,69,70,70,65,70,65,60,80
2018년 05월,69,69,70,70,65,70,65,60,80
2018년 06월,69,69,70,70,65,70,65,60,80
2018년 07월,69,69,70,70,65,70,65,60,80
2018년 08월,69,69,70,70,65,70,65,60,80
2018년 09월,69,69,70,70,65,70,65,60,80
2018년 10월,69,69,70,70,65,70,65,60,80
2018년 11월,69,69,70,70,65,70,65,60,80
2018년 12월,69,69,70,70,65,70,65,60,80
2019년 01월,69,69,70,70,65,70,65,60,80
2019년 02월,69,69,70,70,65,70,65,60,80
2019년 03월,69,69,70,70,65,70,65,60,80
2019년 04월,69,69,70,70,65,70,65,60,80
2019년 05월,69,69,70,70,65,70,65,60,80
2019년 06월,69,69,70,70,65,70,65,60,80
2019년 07월,69,69,70,70,65,70,65,60,80
2019년 08월,69,69,70,70,65,70,65,60,80
2019년 09월,69,69,70,70,65,70,65,60,80
2019년 10월,69,69,70,70,65,70,65,60,80
2019년 11월,69,69,70,70,65,70,65,60,80
2019년 12월,69,69,70,70,65,70,70,60,80
2020년 01월,69,69,70,70,65,70,70,60,80
2020년 02월,69,69,70,70,65,70,70,60,80
2020년 03월,69,69,70,70,65,70,70,60,80
2020년 04월,69,69,70,70,65,70,70,60,80
2020년 05월,69,69,70,70,65,70,70,60,80
2020년 06월,69,69,70,70,65,70,70,60,80
2020년 07월,69,69,70,70,65,70,70,60,80
2020년 08월,69,69,70,70,65,70,70,60,80
2020년 09월,69,69,70,70,65,70,70,60,80
2020년 10월,69,69,70,70,65,70,70,60,80
2020년 11월,69,69,70,70,65,70,70,60,80
2020년 12월,69,69,70,70,65,70,70,60,80
2021년 01월,69,69,70,70,65,70,70,60,80
2021년 02월,69,69,70,70,65,70,70,60,80
2021년 03월,69,69,70,70,65,70,70,60,80
2021년 04월,69,69,70,70,65,70,70,60,80
2021년 05월,69,69,70,70,65,70,70,60,80
2021년 06월,69,69,70,70,65,70,70,60,80
2021년 07월,69,69,70,70,65,70,70,60,80
2021년 08월,69,69,70,70,65,70,70,60,80
2021년 09월,69,69,70,70,65,70,70,60,80
2021년 10월,69,69,70,70,65,70,70,60,80
2021년 11월,69,69,70,70,65,70,70,60,80
2021년 12월,69,69,80,70,65,70,80,60,80
2022년 01월,69,69,80,70,65,70,80,60,80
2022년 02월,69,69,80,70,65,70,80,60,80
2022년 03월,69,69,80,70,65,70,80,60,80
2022년 04월,69,69,90,70,65,70,90,60,80
2022년 05월,75,75,90,76,75,80,90,75,90
2022년 06월,75,75,90,76,75,80,90,75,90
2022년 07월,75,75,90,76,75,80,90,75,90
2022년 08월,75,75,90,76,75,80,90,75,90
2022년 09월,75,75,90,76,75,80,90,75,90
2022년 10월,75,75,90,76,75,80,90,75,90
2022년 11월,75,75,90,76,75,80,90,75,90
2022년 12월,75,75,90,76,75,80,90,75,90
2023년 01월,75,75,90,76,75,80,90,75,90
2023년 02월,75,75,90,76,75,80,90,75,90
2023년 03월,75,75,90,76,75,80,90,75,90
2023년 04월,75,75,90,76,75,80,90,75,90
2023년 05월,75,75,90,76,75,80,90,75,90
2023년 06월,75,75,90,76,75,80,90,75,90
2023년 07월,75,75,90,76,75,80,90,75,90
2023년 08월,75,75,90,76,75,80,90,80,95
2023년 09월,75,75,90,76,75,80,90,80,95
2023년 10월,75,75,90,76,75,80,90,80,95
2023년 11월,75,75,90,76,75,80,90,80,95
2023년 12월,75,75,90,76,75,80,90,80,95
2024년 01월,75,75,90,76,75,80,90,80,95
2024년 02월,75,75,90,76,75,80,90,80,95
2024년 03월,75,75,90,76,75,80,90,80,95
2024년 04월,75,75,90,76,75,80,90,80,95
2024년 05월,85,85,95,90,95,100,90,85,105
2024년 06월,85,85,95,90,95,100,90,85,105
2024년 07월,85,85,95,90,95,100,90,85,105
2024년 08월,85,85,95,90,95,100,90,85,105
2024년 09월,85,85,95,90,95,100,90,85,105
2024년 10월,85,85,95,90,95,100,90,85,105
2024년 11월,85,85,95,90,95,100,90,85,105
2024년 12월,85,85,95,90,95,100,90,85,105
